25 10 1914
0 494 241 3735 3102 3102 3097 3097 3113 3103 3102 3096 3100 3090 0.01
1 252 147 159 37 24 70 73 50 25 22 68 103 50 23 28 46 84 60 23 16 49 72 56 27 29 47 83 62 28 22 65 73 53 29 31 40 77 61 19 32 60 71 56 24 36 38 87 69 29 25 53 78 44 20 22 35 74 65 23 23 39 77 53 212 0.04 8 
2 470 260 183 112 59 32 26 57 103 67 27 35 64 94 61 35 32 61 98 58 24 31 49 105 55 32 30 57 106 52 27 26 60 102 53 34 28 53 95 67 28 33 70 113 43 29 32 54 84 48 27 34 57 110 51 25 27 50 108 51 30 30 58 244 0.05 10 
3 266 406 33 10 4 2 11 18 13 6 7 14 22 14 3 4 19 7 11 6 6 18 10 10 7 6 14 10 11 9 7 14 18 13 5 5 10 9 9 2 9 5 18 12 9 2 7 22 7 4 4 8 28 10 2 7 10 21 10 3 7 3 11 44 0.04 8 
4 367 209 140 27 41 69 148 77 27 29 79 137 77 41 39 79 106 69 35 32 78 101 90 34 40 53 145 60 39 39 64 110 68 32 35 52 140 74 36 32 70 143 60 28 26 69 152 68 39 33 69 124 81 36 33 74 117 70 31 40 60 123 71 210 0.06 12 
5 407 219 29 50 34 12 11 37 50 32 12 12 23 56 21 11 11 16 72 40 13 9 26 62 30 6 12 34 47 31 15 17 30 40 24 9 12 37 44 24 12 15 38 46 27 24 11 32 43 24 18 16 31 59 21 15 13 37 56 33 18 11 35 58 0.02 4 
6 331 172 77 108 91 37 42 93 152 86 30 40 60 144 87 46 43 74 111 78 44 34 75 164 92 47 37 77 121 79 35 32 70 137 88 40 34 78 103 74 40 35 86 120 64 35 42 90 132 66 30 44 82 150 75 33 44 80 117 70 40 44 71 154 0.05 10 
7 120 414 71 58 111 69 37 34 80 133 73 36 36 83 137 64 34 41 68 110 74 38 28 72 129 57 29 32 56 119 58 38 28 70 116 77 37 35 67 135 65 35 34 78 140 68 40 30 66 104 69 40 40 83 117 76 30 28 66 111 74 36 37 142 0.08 16 
8 8 136 29 54 30 6 11 37 60 24 16 14 36 56 27 7 13 23 46 34 16 7 26 53 19 20 17 40 45 19 11 11 24 45 29 18 11 13 41 27 20 19 21 35 20 20 13 28 31 31 17 13 29 58 23 13 19 44 35 30 6 11 15 58 0.04 8 
9 219 398 141 37 83 54 22 28 33 63 41 27 21 42 79 38 21 27 49 75 56 27 22 41 93 45 21 21 47 76 43 21 24 50 80 46 22 20 39 91 58 22 24 56 87 43 24 22 51 90 56 26 23 44 100 48 23 20 44 76 47 25 27 188 0.05 10 
10 330 366 31 25 9 12 35 67 27 19 16 42 37 18 23 19 33 53 30 12 22 19 38 26 21 13 29 44 38 14 19 27 44 33 12 18 27 46 33 11 21 36 68 12 17 23 25 62 26 13 14 27 47 30 17 11 20 34 37 12 17 27 51 62 0.03 6 
11 259 355 68 26 60 117 93 52 29 49 134 56 46 22 59 110 65 34 31 68 162 85 36 30 71 140 48 41 31 51 124 69 27 37 68 107 87 35 29 77 116 51 34 34 65 119 75 29 26 71 108 61 33 28 42 127 71 37 47 44 144 59 38 136 0.04 8 
12 53 7 144 82 150 79 33 35 72 142 59 31 35 79 120 74 40 42 62 98 57 37 34 77 117 70 33 29 71 113 60 48 25 86 136 60 32 33 55 130 66 36 29 83 93 54 32 37 66 106 62 36 28 87 115 60 34 25 50 124 70 29 29 216 0.07 14 
13 473 128 53 24 29 49 80 54 30 30 57 83 60 28 29 64 77 53 31 23 55 101 49 26 23 50 84 54 26 26 47 95 51 26 22 49 91 56 26 30 62 84 48 29 21 62 90 51 25 24 54 83 45 32 21 59 88 58 22 30 46 101 59 106 0.05 10 
14 462 487 72 43 27 66 99 88 35 31 66 117 90 44 26 67 135 55 31 29 99 154 83 33 38 61 136 83 34 42 55 104 60 42 39 63 122 87 40 29 75 118 83 36 39 65 124 71 25 36 58 169 65 24 31 73 143 76 36 35 53 113 56 144 0.09 18 
15 320 367 128 60 35 46 59 113 59 34 24 44 112 79 36 31 61 104 67 22 27 89 132 45 26 33 60 95 62 35 21 66 89 28 29 35 59 135 94 36 29 83 154 61 30 41 46 91 49 37 30 72 137 50 33 23 59 102 59 33 31 62 90 192 0.07 14 
16 50 53 22 41 20 9 10 16 25 20 9 13 19 34 23 8 5 24 47 22 12 7 23 31 17 12 10 30 36 12 10 15 20 33 25 10 8 21 44 22 7 6 18 30 21 7 13 22 36 16 10 8 24 51 18 9 12 21 36 17 6 11 19 44 0.02 4 
17 235 187 36 9 6 5 12 31 9 4 4 14 11 18 0 5 9 6 0 5 12 13 29 23 0 3 13 27 6 4 5 2 0 0 9 1 20 35 3 6 5 18 16 17 10 5 2 17 14 6 4 5 6 0 5 5 3 21 12 4 8 11 23 48 0.05 10 
18 485 65 39 9 20 8 6 2 16 18 9 13 6 13 0 13 10 2 7 8 3 3 3 4 29 13 8 3 14 32 14 3 6 5 36 21 5 6 7 27 10 4 11 7 45 6 5 8 9 11 2 9 7 14 30 2 5 7 7 37 7 9 9 52 0.02 4 
