75 5 6268
0 372 175 12535 8476 8473 8478 8476 8473 0.01
1 306 374 15 15 11 29 12 2 28 15 12 11 10 20 0 13 4 4 21 20 13 26 21 5 26 16 3 11 16 12 14 0 7 4 13 4 11 14 13 16 13 20 15 13 3 14 16 12 12 26 2 0 12 33 28 18 1 3 30 0.05 10 
2 37 10 22 7 11 7 9 10 12 10 9 12 8 12 10 9 11 8 10 10 8 9 12 12 15 9 10 10 8 13 12 13 11 14 8 12 9 9 11 11 12 9 12 12 7 14 8 11 13 8 13 13 10 6 8 9 10 12 33 0.02 4 
3 388 168 72 34 34 40 31 38 37 37 36 40 35 40 36 33 32 33 38 37 28 35 35 34 46 36 41 33 40 41 41 32 41 36 38 37 36 36 42 31 32 31 38 39 24 42 43 34 40 34 34 36 36 36 36 36 37 41 108 0.09 18 
4 302 49 111 35 31 46 30 41 31 27 29 54 24 43 42 29 42 32 25 38 40 27 40 25 38 32 41 39 22 47 49 36 34 55 51 33 33 42 46 42 31 15 41 38 46 42 33 24 35 37 28 31 36 47 33 38 45 45 148 0.08 16 
5 91 486 64 29 18 25 34 42 23 34 25 32 44 45 23 26 29 26 32 38 26 40 36 27 23 34 41 21 30 32 38 26 29 33 33 37 39 39 27 43 32 30 28 28 30 31 31 47 32 49 44 28 34 41 42 26 21 19 96 0.08 16 
6 348 363 90 51 50 53 50 42 50 39 39 42 45 42 41 48 41 42 51 42 39 38 32 47 25 60 30 35 41 39 43 45 51 62 61 53 45 42 56 43 45 54 39 47 48 49 52 52 47 37 45 39 39 54 48 49 39 34 135 0.06 12 
7 483 350 10 6 10 12 10 1 16 13 5 4 12 10 12 8 6 0 19 19 8 13 7 10 11 7 16 15 7 5 8 13 4 11 5 12 6 4 10 10 6 9 10 7 19 5 8 9 11 5 15 11 4 8 13 11 8 9 20 0.02 4 
8 130 66 45 11 14 18 20 18 14 19 11 15 16 16 14 15 16 25 11 12 19 15 7 6 14 17 8 11 16 24 12 21 16 11 11 13 17 15 13 10 25 9 10 19 14 21 17 6 12 21 18 11 15 12 18 16 13 5 60 0.02 4 
9 172 319 93 86 97 91 97 88 93 90 98 96 82 104 88 90 101 94 100 90 95 101 95 96 92 91 88 79 89 95 86 100 106 96 100 97 92 92 96 100 90 90 85 93 99 90 89 98 87 93 87 94 101 95 95 96 94 92 186 0.02 4 
10 74 228 92 45 43 46 48 43 43 46 41 55 52 49 52 40 63 48 49 50 38 48 55 42 37 52 40 43 38 39 43 44 48 54 44 43 45 44 50 45 42 39 55 37 43 50 54 28 40 48 50 40 47 49 36 44 42 52 138 0.07 14 
11 391 372 180 63 56 48 64 58 72 67 68 36 51 68 62 50 56 74 61 70 78 47 56 73 46 48 51 68 65 48 57 78 60 64 58 57 60 50 63 46 45 60 60 57 60 61 60 50 63 45 57 83 85 50 59 61 45 49 240 0.07 14 
12 230 366 62 38 33 28 29 38 28 41 37 30 17 32 27 30 32 32 42 36 35 38 25 30 28 21 30 27 39 25 35 30 39 38 30 32 32 21 23 16 22 34 21 24 32 40 30 29 37 49 30 33 31 33 27 29 30 33 93 0.05 10 
13 105 344 48 24 19 19 24 24 20 22 19 26 29 20 28 17 21 22 25 20 28 21 24 27 22 24 25 27 31 31 21 28 24 23 20 24 25 16 21 26 24 24 27 22 31 25 25 22 30 26 23 32 35 28 29 19 24 23 72 0.07 14 
14 121 182 68 63 69 63 74 74 67 65 71 58 67 60 56 57 66 62 67 58 61 73 67 80 74 76 61 65 63 65 77 65 68 66 74 61 62 66 74 65 69 61 68 57 74 62 65 61 71 72 83 78 70 62 64 60 76 70 136 0.09 18 
15 90 242 130 67 63 70 63 69 64 61 63 66 66 66 66 67 59 64 64 66 62 67 67 64 64 65 64 64 60 65 62 65 65 63 65 62 64 65 65 64 65 65 65 64 64 69 62 63 62 60 66 66 62 64 65 66 65 64 195 0.09 18 
16 132 204 80 84 81 73 80 94 80 86 83 70 78 80 79 62 75 86 76 83 73 68 88 80 77 85 72 82 72 74 75 76 77 83 82 84 79 79 74 75 79 73 68 80 91 86 89 78 69 89 79 76 88 78 76 79 84 73 160 0.07 14 
17 392 264 91 97 96 97 90 87 93 93 87 96 89 91 90 92 95 93 88 94 86 92 90 78 87 93 86 85 92 88 96 89 95 94 87 95 86 85 90 91 91 95 92 90 97 90 88 94 92 97 91 89 91 96 93 89 91 94 182 0.06 12 
18 237 106 62 27 39 33 30 30 31 40 42 33 31 45 43 41 38 35 36 26 22 25 37 32 32 34 34 32 27 41 31 31 35 43 35 30 29 32 24 33 42 43 40 38 25 35 25 30 35 29 21 30 31 39 31 33 35 32 93 0.07 14 
19 336 485 33 20 12 0 13 10 12 10 19 9 12 11 10 4 17 7 10 13 10 11 10 22 3 16 14 7 15 11 11 6 5 16 19 4 6 6 11 9 3 13 9 3 19 14 16 10 12 24 14 7 7 9 17 24 12 4 44 0.06 12 
20 470 483 267 91 94 92 81 86 90 82 91 74 73 79 103 97 93 108 91 85 72 90 89 73 89 91 85 88 99 90 70 98 93 77 98 79 84 95 88 84 90 91 77 81 96 95 103 90 86 86 92 85 82 95 88 92 93 95 356 0.05 10 
21 497 395 72 25 24 23 25 20 24 22 23 25 23 22 21 19 18 23 27 18 25 23 27 23 24 18 26 22 22 20 24 21 16 23 23 28 26 24 23 25 21 23 25 22 19 22 20 26 24 27 28 26 25 26 32 22 20 26 96 0.06 12 
22 34 85 91 99 106 96 89 86 89 94 94 77 99 82 80 100 86 85 99 96 96 94 86 91 102 87 98 89 88 94 91 89 83 93 84 106 91 85 96 101 86 84 88 90 93 98 86 89 92 88 84 86 88 88 75 96 85 96 182 0.09 18 
23 67 78 172 85 81 89 79 78 79 85 93 92 89 92 82 85 87 88 82 83 84 84 89 78 86 81 75 87 76 78 83 86 80 92 80 88 89 85 86 87 88 92 81 85 88 78 85 81 86 79 82 88 81 86 92 86 88 90 258 0.03 6 
24 200 432 111 41 34 36 35 36 33 36 34 39 36 39 34 37 37 38 38 42 35 39 35 38 36 38 39 37 37 35 34 39 37 36 38 38 34 38 40 34 38 36 38 39 35 36 36 40 40 36 40 37 39 35 38 37 37 37 148 0.09 18 
25 128 119 200 91 106 103 78 106 96 90 108 107 81 93 93 104 99 90 83 84 92 91 113 97 110 111 84 83 86 85 101 96 125 119 90 82 106 89 105 95 100 100 100 97 98 117 90 124 97 83 99 99 99 105 111 91 105 97 300 0.08 16 
26 271 471 194 91 93 99 97 102 101 99 99 97 100 94 96 92 99 101 99 95 96 100 101 96 98 95 98 98 98 97 92 99 96 97 94 99 94 91 93 98 93 98 95 99 99 98 97 98 95 94 97 104 89 96 95 104 100 96 291 0.07 14 
27 98 109 66 69 67 76 79 59 78 67 86 59 75 73 54 63 67 75 62 60 66 68 73 75 60 53 57 69 60 67 67 67 65 69 80 74 61 89 72 48 51 72 57 51 68 58 68 55 68 68 64 72 54 52 55 65 56 52 132 0.09 18 
28 225 357 110 51 68 70 54 61 46 54 55 58 63 50 53 56 51 47 51 59 61 61 59 60 46 56 67 53 58 54 49 56 53 50 60 51 51 57 55 55 57 49 62 53 51 50 45 53 57 60 43 49 56 54 44 55 52 56 165 0.03 6 
29 473 85 22 9 17 6 7 9 8 15 7 15 8 10 8 19 16 9 10 14 6 11 11 5 18 12 8 0 13 17 9 13 14 3 6 7 13 17 6 14 22 20 11 12 14 16 6 6 6 13 7 16 7 4 12 19 10 13 33 0.05 10 
30 246 453 112 65 57 61 57 52 58 51 56 57 67 48 58 63 48 59 54 63 58 48 60 58 63 52 49 57 59 60 55 52 50 64 51 57 54 65 57 53 58 49 56 49 54 56 51 56 49 50 64 54 52 54 54 63 57 51 168 0.07 14 
31 424 500 55 54 47 56 48 47 55 50 58 57 47 47 67 47 44 57 68 61 60 60 52 57 49 55 53 45 59 53 56 58 62 52 49 42 57 62 53 55 47 42 48 62 37 58 56 60 53 49 52 51 59 56 52 52 56 53 110 0.02 4 
32 48 141 84 83 75 78 84 85 83 78 79 86 72 90 81 80 84 86 85 84 84 83 76 82 76 88 87 84 80 81 84 79 86 81 74 84 82 88 76 81 70 79 81 85 91 82 84 75 76 85 76 82 82 89 86 79 76 79 168 0.09 18 
33 255 175 73 61 63 79 41 75 78 62 66 57 87 74 64 73 75 89 71 85 71 83 55 63 61 67 69 72 88 78 82 68 73 81 62 71 69 72 62 65 85 87 86 73 79 61 85 70 94 67 62 84 71 64 67 73 75 94 146 0.03 6 
34 362 2 72 18 22 17 20 34 31 35 26 18 32 23 20 41 34 25 24 22 9 11 22 29 36 34 23 15 29 28 10 23 29 28 34 27 22 28 22 8 22 31 20 38 27 19 16 25 17 29 40 26 12 33 20 12 23 16 96 0.09 18 
35 153 272 98 99 97 100 103 98 98 88 108 104 96 98 95 100 99 97 102 96 106 99 115 96 92 101 100 106 95 103 101 93 99 103 93 100 93 96 93 99 98 99 95 91 97 93 103 100 102 98 100 96 104 96 98 94 96 98 196 0.04 8 
36 73 168 39 8 2 10 0 10 10 2 11 8 24 18 12 16 13 6 25 25 17 14 9 19 9 0 6 7 15 22 3 20 28 13 6 7 9 19 12 13 16 7 0 3 10 12 0 15 14 16 12 6 16 15 12 11 0 16 52 0.02 4 
37 121 474 150 78 74 83 78 74 73 66 71 80 76 67 74 81 77 73 71 74 81 76 77 74 74 73 74 74 74 79 72 79 77 77 79 75 76 73 76 76 76 77 74 70 68 74 80 68 72 75 73 70 70 73 81 74 77 78 225 0.09 18 
38 125 183 192 95 100 95 101 98 97 91 100 98 102 94 94 95 99 98 93 99 97 93 99 94 98 95 94 101 95 100 98 94 94 94 94 100 95 92 97 96 102 89 94 99 98 95 96 93 90 88 96 92 97 97 94 96 90 98 288 0.04 8 
39 166 416 40 24 43 38 35 38 48 33 30 51 40 47 33 42 31 38 43 44 35 40 44 52 45 34 39 49 24 59 34 42 49 40 33 36 29 36 35 28 36 38 50 30 38 49 47 32 36 33 47 41 43 32 32 36 43 43 80 0.07 14 
40 202 64 72 41 29 25 31 24 49 42 22 32 38 34 56 52 41 19 40 51 37 33 35 33 36 37 43 22 50 43 31 44 36 40 43 22 32 41 28 17 42 24 31 46 28 33 25 35 16 46 31 31 43 31 39 40 34 33 108 0.08 16 
