50 20 3958
0 34 210 8224 6343 6348 6366 6356 6352 6355 6354 6349 6339 6343 6368 6325 6353 6335 6341 6353 6351 6342 6351 6357 0.01
1 440 234 225 73 81 71 73 73 75 75 76 77 82 73 78 79 82 72 73 71 75 77 78 74 72 77 72 76 78 74 70 71 77 71 77 68 74 74 70 69 73 69 78 76 76 70 68 72 76 74 74 72 73 77 71 76 76 76 74 80 78 69 70 81 73 76 75 72 72 76 74 74 75 300 0.08 16 
2 471 449 117 34 32 37 35 35 40 41 50 34 41 36 32 41 40 25 24 42 48 48 40 48 35 30 25 46 49 23 34 41 37 30 45 30 48 36 48 45 42 39 40 43 54 38 51 54 36 40 38 48 46 27 41 46 31 42 24 41 35 30 37 45 47 47 49 34 38 43 31 38 36 156 0.08 16 
3 75 257 106 60 47 48 55 50 50 55 51 55 55 55 61 55 56 52 49 51 52 54 48 53 53 53 48 48 53 52 62 50 48 49 51 52 50 53 55 49 50 51 48 52 55 48 58 52 51 49 55 59 57 56 52 55 59 59 52 52 46 52 48 53 53 55 50 58 49 59 49 53 51 159 0.05 10 
4 468 360 45 41 44 53 48 41 40 34 43 50 53 50 55 43 49 55 49 30 40 29 55 38 37 43 48 44 36 45 49 34 34 39 43 46 49 46 51 36 34 47 44 41 49 50 48 45 48 41 47 44 46 45 42 46 36 51 64 45 38 42 59 50 37 47 43 38 42 49 48 47 29 90 0.07 14 
5 327 193 183 58 58 54 63 64 56 56 61 59 69 62 62 59 61 52 59 60 61 61 64 55 61 57 60 59 66 66 68 56 61 70 63 61 64 62 54 58 64 62 58 59 66 63 60 57 68 59 53 60 63 65 61 63 64 63 60 63 64 63 58 63 65 61 59 68 54 63 59 60 75 244 0.05 10 
6 21 144 84 40 43 39 40 39 43 44 42 44 40 42 39 39 41 41 41 42 44 43 40 42 45 40 39 44 43 41 39 41 41 39 40 43 41 43 39 41 39 39 40 40 42 40 44 41 43 41 43 46 41 40 41 39 40 44 43 39 42 42 43 42 39 43 43 43 46 41 42 44 44 126 0.05 10 
7 235 5 180 57 64 50 44 68 66 56 61 53 61 57 49 53 61 50 57 63 52 55 57 66 63 57 47 58 56 71 49 48 64 70 72 51 52 61 61 61 55 57 66 57 54 62 58 58 45 50 55 64 64 43 61 54 54 59 54 53 48 51 45 68 59 64 69 59 44 69 57 72 66 240 0.02 4 
8 156 186 54 18 10 10 16 23 14 16 22 22 14 19 19 18 18 13 7 19 18 19 15 14 16 15 22 19 11 15 21 21 19 23 10 21 22 23 16 11 15 23 19 19 17 18 18 17 16 13 14 10 25 19 15 19 19 25 26 15 13 21 16 20 24 19 25 14 17 11 25 18 17 72 0.07 14 
9 409 11 79 78 80 82 85 78 87 83 77 74 79 64 69 73 92 78 86 60 95 88 84 80 80 68 80 83 58 81 75 92 75 85 83 67 87 65 91 74 68 78 90 80 83 72 97 75 82 89 71 79 68 88 90 79 76 77 74 79 89 82 77 75 94 79 83 94 73 82 67 78 67 158 0.08 16 
10 187 271 72 38 32 35 35 36 37 34 34 36 40 33 36 36 31 33 36 36 38 34 37 32 32 38 33 37 32 35 27 31 33 32 40 35 29 36 38 33 34 35 31 35 42 29 33 31 45 39 37 36 31 33 28 39 38 33 35 37 42 42 36 42 33 34 37 38 34 36 37 27 44 108 0.02 4 
11 47 249 30 9 10 9 12 10 13 9 11 12 11 8 12 7 5 7 10 10 11 6 9 8 9 10 9 8 10 10 9 11 8 9 8 8 9 10 11 9 12 15 11 13 5 8 10 14 11 9 14 11 9 11 9 8 10 10 8 7 9 8 11 9 10 11 9 10 9 8 13 9 10 40 0.04 8 
12 126 164 114 38 43 39 42 38 35 36 42 43 41 39 36 34 39 34 38 38 39 36 38 40 36 37 36 35 39 43 40 40 40 37 35 39 40 35 38 38 38 38 38 35 36 39 35 38 40 40 40 36 41 42 36 34 39 43 39 37 37 37 38 38 37 35 37 37 38 38 38 37 32 152 0.04 8 
13 84 230 99 28 28 29 32 18 31 43 42 34 42 31 40 38 32 35 30 37 25 33 25 20 38 18 30 29 31 26 34 40 31 24 31 48 26 41 26 22 26 27 46 29 29 29 33 30 37 27 22 40 42 13 17 26 36 45 39 29 41 25 38 35 40 26 33 39 38 39 35 45 27 132 0.02 4 
14 241 402 213 76 80 54 61 71 90 69 98 67 78 74 89 40 60 67 72 71 72 61 78 65 79 77 71 51 74 74 66 67 67 67 61 72 67 78 66 92 60 65 63 75 49 80 68 69 70 76 72 92 93 72 81 53 54 90 78 70 62 60 92 84 83 68 58 51 62 62 67 71 60 284 0.03 6 
15 197 454 225 77 78 79 77 77 76 75 71 79 72 72 74 77 72 77 75 79 70 74 76 78 76 70 77 71 68 72 68 75 74 72 72 73 75 78 75 71 80 74 74 73 75 76 73 75 71 70 77 71 73 73 71 75 77 74 72 76 71 69 71 74 74 74 72 75 75 76 73 76 71 300 0.05 10 
16 261 396 240 82 76 78 81 74 79 83 82 73 75 83 76 71 69 93 63 89 83 87 75 82 71 77 79 84 75 78 79 92 90 78 79 87 71 78 71 85 64 65 77 72 77 76 84 79 73 75 80 82 77 84 81 79 90 77 83 76 68 80 86 88 80 85 80 81 72 70 85 76 83 320 0.09 18 
17 291 342 82 39 56 37 38 46 28 55 43 35 33 42 45 34 20 62 50 53 37 50 40 37 37 38 39 28 58 49 26 41 36 51 47 41 50 44 32 45 33 38 48 42 47 49 36 49 41 48 42 50 31 47 42 48 43 42 21 32 53 34 46 31 53 46 43 40 31 37 50 32 39 123 0.05 10 
18 275 248 31 32 30 29 30 31 29 26 33 32 33 32 34 28 31 31 33 32 30 30 31 32 31 27 28 28 30 28 29 32 29 33 31 29 28 30 29 30 32 29 31 30 33 35 28 27 31 31 29 31 29 31 32 27 29 30 31 32 36 30 29 33 31 30 30 36 30 32 30 29 29 62 0.09 18 
19 115 137 130 65 67 53 67 46 84 53 65 82 76 77 48 58 61 79 76 65 72 55 74 76 80 76 65 57 55 53 62 58 73 54 61 62 39 34 67 71 56 77 62 80 53 65 62 61 66 65 64 66 73 77 60 59 67 77 77 63 86 71 73 65 63 57 56 69 77 67 71 72 65 195 0.04 8 
20 70 169 70 42 50 32 35 30 37 36 47 40 43 41 34 30 40 49 31 25 37 29 26 41 29 33 37 29 29 28 36 32 35 55 36 37 32 36 38 26 32 36 42 37 32 36 28 38 32 42 21 36 42 41 32 29 49 35 33 35 53 41 46 29 40 45 46 35 34 27 44 34 40 105 0.05 10 
21 474 490 136 77 61 75 68 88 100 72 68 69 76 62 61 65 82 74 81 71 64 65 62 74 67 66 62 80 54 52 69 81 77 76 54 71 53 69 69 60 65 59 76 65 59 61 91 48 66 80 45 71 77 56 58 70 57 70 60 71 57 72 54 59 65 74 50 77 51 57 70 63 76 204 0.05 10 
22 442 228 38 38 35 36 35 40 41 37 35 43 39 38 35 40 39 37 40 36 37 37 41 40 40 39 41 38 35 36 35 36 40 40 40 37 34 35 38 41 38 38 39 40 36 38 36 37 36 38 36 38 36 39 36 36 37 38 39 40 38 39 39 38 38 35 39 39 35 39 39 39 39 76 0.04 8 
23 482 224 42 42 38 39 34 24 33 49 47 32 44 47 25 45 54 45 61 39 25 40 35 38 43 30 32 28 23 40 50 44 36 59 38 32 55 36 54 44 34 41 37 40 51 45 42 35 40 45 57 42 50 41 45 43 44 34 38 43 33 45 45 46 36 46 38 36 45 45 57 54 45 84 0.04 8 
24 20 254 240 75 84 78 74 78 82 82 81 82 86 80 74 80 80 82 75 73 78 79 89 81 76 79 73 81 81 81 81 84 74 76 78 87 73 80 82 83 82 80 80 72 77 80 81 76 83 78 81 80 81 75 77 82 82 84 81 82 78 76 75 74 75 80 79 81 78 76 79 82 89 320 0.07 14 
25 65 146 192 103 94 85 102 92 96 88 92 89 91 102 99 96 100 100 94 101 106 93 111 85 105 110 101 94 110 100 99 97 89 93 104 72 116 106 97 109 80 100 84 103 119 112 97 93 95 97 96 92 112 106 106 97 103 99 109 106 104 91 89 70 102 102 107 101 99 88 103 97 108 288 0.07 14 
26 323 457 165 57 48 62 52 60 54 41 53 48 60 68 35 50 58 54 52 44 65 44 47 42 50 47 48 49 39 36 51 48 55 72 67 52 61 76 59 62 57 60 67 58 52 66 52 56 74 44 49 46 47 59 58 49 47 52 60 66 70 47 52 56 64 61 46 50 43 67 66 53 76 220 0.04 8 
27 173 189 73 66 81 61 72 65 80 67 71 74 89 74 51 58 58 78 75 71 71 75 81 61 83 86 75 64 78 70 74 64 71 71 70 65 89 68 76 76 80 89 66 66 65 57 53 69 73 77 50 62 63 72 55 75 63 62 76 69 66 61 75 76 84 60 86 68 79 62 62 59 69 146 0.05 10 
